phase,temperature_K,pressure_Pa,density_kg_m3,gibbs_J_mol,cp_J_mol_K,region_status,source_model,note
iceIh,250.0,101325.0,919.9963944337112,-544.4642780409886,34.71235420368495,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,251.0,101325.0,919.8600287106233,-519.3334675649878,34.84383043108535,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,252.0,101325.0,919.7231838311009,-494.34147717346735,34.97537770667898,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,253.0,101325.0,919.585862754966,-469.4882780054025,35.1069950195372,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,254.0,101325.0,919.4480684200482,-444.77384170475824,35.23868137092968,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,255.0,101325.0,919.3098037422894,-420.198140410588,35.37043577435382,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,256.0,101325.0,919.1710716158533,-395.76114674734504,35.50225725555177,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,257.0,101325.0,919.031874913238,-371.4628338153903,35.634144852515895,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,258.0,101325.0,918.8922164853922,-347.30317518168397,35.76609761548332,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,259.0,101325.0,918.7520991618333,-323.2821448706886,35.89811460692026,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,260.0,101325.0,918.6115257507696,-299.39971735544447,36.030194901496955,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,261.0,101325.0,918.4704990392247,-275.6558675488379,36.1623375860535,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,262.0,101325.0,918.3290217931634,-252.0505707950433,36.29454175955765,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,263.0,101325.0,918.1870967576212,-228.58380286114772,36.42680653305477,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,264.0,101325.0,918.0447266568351,-205.25553992894476,36.55913102961058,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,265.0,101325.0,917.9019141943761,-182.06575858690627,36.69151438424737,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,266.0,101325.0,917.7586620532849,-159.01443582230175,36.82395574387397,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,267.0,101325.0,917.6149728962068,-136.1015490135087,36.95645426721,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,268.0,101325.0,917.4708493655305,-113.32707592245517,37.0890091247049,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,269.0,101325.0,917.3262940835268,-90.69099468723734,37.22161949845207,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
